fire_year,current_size,fire_location_latitude,fire_location_longitude,assessment_hectares,fire_spread_rate,temperature,relative_humidity,wind_speed,fuel_type,initial_action_by,ia_arrival_at_fire_date,fire_fighting_start_date,fire_fighting_start_size,fire_origin_encoded,fire_type_encoded,general_cause_desc_encoded,weather_conditions_over_fire_encoded,temperature_encoded,relative_humidity_encoded,wind_speed_encoded,current_size_bin,current_size_bin_encoded
2021,0.01,49.410191,-114.318843,0.01,0.0,4.0,65.0,30.0,C7,FPD Staff,1/13/2021 13:20,1/13/2021 13:25,0.01,5,2,6,3,0.4333333333333333,0.65,0.33333333333333337,"(0.0, 4.0]",0
2021,0.01,50.403817,-114.496917,0.01,0.0,13.0,70.0,0.0,M2,FPD Staff,7/4/2021 3:22,7/4/2021 3:22,0.01,1,2,10,4,0.5833333333333333,0.7000000000000001,0.0,"(0.0, 4.0]",0
2021,29.6,53.752683,-116.657933,0.3,1.0,23.0,18.0,3.0,M1,HAC,4/16/2021 14:12,4/16/2021 14:27,0.3,4,2,1,2,0.75,0.18,0.03333333333333333,"(28.0, 32.0]",7
2021,8.05,53.6002,-116.2014,2.0,5.0,19.8,20.0,7.0,O1b,HAC,4/17/2021 14:35,4/17/2021 14:42,4.0,3,2,0,2,0.6966666666666667,0.2,0.07777777777777778,"(8.0, 12.0]",2
2021,479.3,53.414,-115.785417,7.0,6.0,18.0,22.0,10.0,C3,HAC,4/30/2021 11:42,4/30/2021 12:03,10.0,4,2,9,2,0.6666666666666666,0.22,0.11111111111111112,"(40.0, inf]",10
2021,0.5,53.73745,-115.598867,1.0,1.0,26.0,33.0,4.0,M2,HAC,6/3/2021 18:35,6/3/2021 18:47,0.5,4,2,6,2,0.8,0.33,0.044444444444444446,"(0.0, 4.0]",0
2021,0.87,53.641917,-115.777333,2.0,1.0,22.0,29.0,10.0,O1b,HAC,6/12/2021 18:10,6/12/2021 18:15,1.0,3,2,10,2,0.7333333333333333,0.29,0.11111111111111112,"(0.0, 4.0]",0
2021,0.05,53.333967,-117.844917,0.05,0.0,7.0,57.0,8.0,O1b,UNIT,9/19/2021 20:19,9/19/2021 20:20,0.05,4,2,9,2,0.4833333333333333,0.5700000000000001,0.08888888888888889,"(0.0, 4.0]",0
2021,0.05,55.088917,-117.39575,0.01,1.0,20.0,35.0,5.0,M2,HAC,5/16/2021 17:02,5/16/2021 17:15,0.05,1,2,10,3,0.7,0.35000000000000003,0.05555555555555556,"(0.0, 4.0]",0
2021,2.91,58.717583,-118.751667,3.0,4.0,7.0,65.0,5.0,O1a,FPD Staff,5/10/2021 21:01,5/10/2021 21:04,3.0,1,2,10,3,0.4833333333333333,0.65,0.05555555555555556,"(0.0, 4.0]",0
2021,0.01,58.715583,-118.745533,0.01,1.0,16.0,35.0,5.0,O1a,FTAC,5/12/2021 18:20,5/12/2021 18:30,0.01,1,2,10,3,0.6333333333333333,0.35000000000000003,0.05555555555555556,"(0.0, 4.0]",0
2021,0.62,59.242767,-118.570883,0.3,0.1,14.0,40.0,5.0,O1a,HAC,5/20/2021 18:25,5/20/2021 18:35,0.3,4,2,9,2,0.6,0.4,0.05555555555555556,"(0.0, 4.0]",0
2021,1.1,57.829086,-116.824495,0.05,1.0,20.0,35.0,15.0,O1b,HAC,5/20/2021 19:06,5/20/2021 19:11,0.05,3,2,0,2,0.7,0.35000000000000003,0.16666666666666669,"(0.0, 4.0]",0
2021,6.2,58.463758,-114.394088,5.0,1.0,20.5,28.0,5.0,O1a,FTAC,5/23/2021 8:43,5/23/2021 8:45,5.0,4,2,10,3,0.7083333333333333,0.28,0.05555555555555556,"(4.0, 8.0]",1
2021,0.09,58.544067,-116.96785,0.09,1.0,24.0,31.0,12.0,O1a,FPD Staff,5/23/2021 14:36,5/23/2021 14:37,0.09,4,2,6,3,0.7666666666666666,0.31,0.13333333333333333,"(0.0, 4.0]",0
2021,5.33,59.016429,-119.746914,5.0,2.0,23.4,31.0,5.0,C2,HAC,6/8/2021 15:38,6/8/2021 15:58,5.0,4,2,1,2,0.7566666666666666,0.31,0.05555555555555556,"(4.0, 8.0]",1
2021,0.01,58.5442,-117.124633,0.01,0.5,24.0,70.0,27.0,O1b,HAC,7/1/2021 9:30,7/1/2021 9:38,0.01,4,2,6,3,0.7666666666666666,0.7000000000000001,0.3,"(0.0, 4.0]",0
2021,18.8,58.460801,-114.443502,17.0,2.0,8.0,47.0,13.0,O1b,FTAC,10/12/2021 18:19,10/13/2021 10:20,18.7,4,2,10,3,0.5,0.47000000000000003,0.14444444444444446,"(16.0, 20.0]",4
2021,0.1,58.5812,-117.924783,0.1,0.0,-15.0,30.0,5.0,M1,FPD Staff,11/17/2021 13:30,11/17/2021 13:40,0.1,4,2,9,3,0.11666666666666664,0.3,0.05555555555555556,"(0.0, 4.0]",0
2021,0.12,55.91965,-110.738167,0.12,0.5,16.0,29.0,5.0,O1a,FTAC,4/16/2021 18:49,4/16/2021 18:49,0.12,1,2,10,2,0.6333333333333333,0.29,0.05555555555555556,"(0.0, 4.0]",0
2021,0.1,55.937533,-110.719617,0.1,1.0,8.0,27.0,19.0,O1b,HAC,4/17/2021 13:12,4/17/2021 13:16,0.1,1,2,10,3,0.5,0.27,0.2111111111111111,"(0.0, 4.0]",0
2021,0.5,54.850633,-114.074333,0.5,3.0,8.0,35.0,15.0,O1a,FTAC,4/17/2021 19:10,4/17/2021 19:15,0.5,4,2,6,4,0.5,0.35000000000000003,0.16666666666666669,"(0.0, 4.0]",0
2021,1.0,54.5834,-111.881004,1.0,0.0,20.0,26.0,20.0,O1a,FPD Staff,4/30/2021 16:44,4/30/2021 17:07,1.0,3,2,10,2,0.7,0.26,0.22222222222222224,"(0.0, 4.0]",0
2021,6.5,54.893567,-112.70575,0.01,2.0,16.0,40.0,35.0,O1a,HAC,4/30/2021 17:33,4/30/2021 17:40,6.5,3,2,10,3,0.6333333333333333,0.4,0.3888888888888889,"(4.0, 8.0]",1
2021,0.18,54.622783,-111.6576,0.01,2.0,17.0,19.0,8.0,M1,HAC,5/5/2021 15:35,5/5/2021 16:12,0.18,4,2,9,2,0.6499999999999999,0.19,0.08888888888888889,"(0.0, 4.0]",0
2021,0.38,54.613,-111.661833,0.5,2.0,15.0,20.0,5.0,D1,HAC,5/5/2021 15:35,5/5/2021 15:48,0.5,4,2,9,0,0.6166666666666667,0.2,0.05555555555555556,"(0.0, 4.0]",0
2021,11.1,54.654617,-113.937583,3.0,5.0,19.0,23.0,23.0,M1,HAC,5/6/2021 14:45,5/6/2021 15:00,5.0,3,2,6,3,0.6833333333333333,0.23,0.2555555555555556,"(8.0, 12.0]",2
2021,0.3,55.922017,-110.7371,0.3,0.3,15.0,21.0,20.0,O1a,HAC,5/7/2021 15:26,5/7/2021 15:36,0.3,1,2,2,3,0.6166666666666667,0.21,0.22222222222222224,"(0.0, 4.0]",0
2021,0.13,55.631584,-111.088055,0.1,0.5,18.0,18.0,20.0,C2,HAC,5/9/2021 16:34,5/9/2021 16:53,0.1,3,1,10,2,0.6666666666666666,0.18,0.22222222222222224,"(0.0, 4.0]",0
2021,0.5,55.9352,-110.721267,0.3,1.0,30.0,30.0,15.0,O1a,HAC,6/2/2021 13:05,6/2/2021 13:07,0.3,1,1,10,2,0.8666666666666667,0.3,0.16666666666666669,"(0.0, 4.0]",0
2021,0.01,55.621967,-111.178733,0.01,0.0,16.0,83.0,8.0,D1,FTAC,7/10/2021 20:20,7/10/2021 20:26,0.01,4,2,6,3,0.6333333333333333,0.8300000000000001,0.08888888888888889,"(0.0, 4.0]",0
2021,1.8,54.990075,-111.02638,1.0,3.0,29.6,43.0,5.0,O1a,HAC,8/5/2021 16:48,8/5/2021 17:00,1.0,0,2,2,3,0.86,0.43,0.05555555555555556,"(0.0, 4.0]",0
2021,0.01,55.228367,-113.196383,0.01,0.0,23.0,52.0,4.0,O1a,FTAC,8/13/2021 10:40,8/13/2021 10:40,0.01,4,2,10,2,0.75,0.52,0.044444444444444446,"(0.0, 4.0]",0
2021,0.5,54.6747,-111.902333,1.0,0.0,14.0,36.0,26.0,M1,FTAC,10/1/2021 16:21,10/1/2021 16:35,1.0,1,1,10,2,0.6,0.36,0.2888888888888889,"(0.0, 4.0]",0
2021,0.01,56.471517,-111.204917,0.01,0.0,38.0,20.0,20.0,O1b,FPD Staff,7/2/2021 16:35,7/2/2021 16:37,0.01,4,2,6,1,1.0,0.2,0.22222222222222224,"(0.0, 4.0]",0
2021,0.01,56.94265,-111.551083,0.01,0.0,15.0,60.0,27.0,O1a,FPD Staff,8/10/2021 13:50,8/10/2021 14:02,0.01,4,2,6,1,0.6166666666666667,0.6,0.3,"(0.0, 4.0]",0
2021,0.02,56.001833,-116.912333,0.02,1.0,17.0,24.0,12.0,D1,HAC,5/22/2021 18:53,5/22/2021 18:58,0.02,3,2,10,2,0.6499999999999999,0.24,0.13333333333333333,"(0.0, 4.0]",0
2021,0.02,56.107983,-116.992667,0.02,0.5,16.0,25.0,10.0,S1,HAC,5/22/2021 21:25,5/22/2021 21:26,0.02,3,2,0,2,0.6333333333333333,0.25,0.11111111111111112,"(0.0, 4.0]",0
